Epoch: 0/100 Step: 1 -  Training Loss: 4.614 -  Validation Loss: 4.600 -  Validation Accuracy: 0.037
Epoch: 0/100 Step: 2 -  Training Loss: 4.649 -  Validation Loss: 4.575 -  Validation Accuracy: 0.040
Epoch: 0/100 Step: 5 -  Training Loss: 4.491 -  Validation Loss: 4.457 -  Validation Accuracy: 0.073
Epoch: 0/100 Step: 10 -  Training Loss: 4.354 -  Validation Loss: 4.274 -  Validation Accuracy: 0.100
Epoch: 0/100 Step: 20 -  Training Loss: 4.177 -  Validation Loss: 3.769 -  Validation Accuracy: 0.238
Epoch: 0/100 Step: 51 -  Training Loss: 3.097 -  Validation Loss: 2.084 -  Validation Accuracy: 0.617
Epoch: 1/100 Step: 104 -  Training Loss: 1.666 -  Validation Loss: 0.859 -  Validation Accuracy: 0.849
Epoch: 2/100 Step: 207 -  Training Loss: 0.783 -  Validation Loss: 0.420 -  Validation Accuracy: 0.919
Epoch: 3/100 Step: 310 -  Training Loss: 0.464 -  Validation Loss: 0.318 -  Validation Accuracy: 0.923
Epoch: 4/100 Step: 413 -  Training Loss: 0.332 -  Validation Loss: 0.258 -  Validation Accuracy: 0.934
Epoch: 5/100 Step: 516 -  Training Loss: 0.275 -  Validation Loss: 0.220 -  Validation Accuracy: 0.944
Epoch: 6/100 Step: 619 -  Training Loss: 0.230 -  Validation Loss: 0.190 -  Validation Accuracy: 0.956
Epoch: 7/100 Step: 722 -  Training Loss: 0.190 -  Validation Loss: 0.204 -  Validation Accuracy: 0.949
Epoch: 8/100 Step: 825 -  Training Loss: 0.166 -  Validation Loss: 0.185 -  Validation Accuracy: 0.955
Epoch: 9/100 Step: 928 -  Training Loss: 0.145 -  Validation Loss: 0.183 -  Validation Accuracy: 0.939
Epoch: 10/100 Step: 1031 -  Training Loss: 0.124 -  Validation Loss: 0.172 -  Validation Accuracy: 0.955
Epoch: 11/100 Step: 1134 -  Training Loss: 0.102 -  Validation Loss: 0.166 -  Validation Accuracy: 0.958
Epoch: 12/100 Step: 1237 -  Training Loss: 0.135 -  Validation Loss: 0.164 -  Validation Accuracy: 0.956
Epoch: 13/100 Step: 1340 -  Training Loss: 0.124 -  Validation Loss: 0.171 -  Validation Accuracy: 0.957
Epoch: 14/100 Step: 1443 -  Training Loss: 0.110 -  Validation Loss: 0.147 -  Validation Accuracy: 0.962
Epoch: 15/100 Step: 1546 -  Training Loss: 0.115 -  Validation Loss: 0.153 -  Validation Accuracy: 0.958
Epoch: 16/100 Step: 1649 -  Training Loss: 0.097 -  Validation Loss: 0.175 -  Validation Accuracy: 0.951
Epoch: 17/100 Step: 1752 -  Training Loss: 0.093 -  Validation Loss: 0.170 -  Validation Accuracy: 0.953
Epoch: 18/100 Step: 1855 -  Training Loss: 0.097 -  Validation Loss: 0.163 -  Validation Accuracy: 0.958
Epoch: 19/100 Step: 1958 -  Training Loss: 0.078 -  Validation Loss: 0.157 -  Validation Accuracy: 0.952
Epoch: 20/100 Step: 2061 -  Training Loss: 0.084 -  Validation Loss: 0.179 -  Validation Accuracy: 0.956
Epoch: 21/100 Step: 2164 -  Training Loss: 0.086 -  Validation Loss: 0.183 -  Validation Accuracy: 0.945
Epoch: 22/100 Step: 2267 -  Training Loss: 0.084 -  Validation Loss: 0.179 -  Validation Accuracy: 0.956
Epoch: 23/100 Step: 2370 -  Training Loss: 0.085 -  Validation Loss: 0.198 -  Validation Accuracy: 0.948
Epoch: 24/100 Step: 2473 -  Training Loss: 0.089 -  Validation Loss: 0.201 -  Validation Accuracy: 0.944
Epoch: 25/100 Step: 2576 -  Training Loss: 0.081 -  Validation Loss: 0.160 -  Validation Accuracy: 0.963
Epoch: 26/100 Step: 2679 -  Training Loss: 0.085 -  Validation Loss: 0.156 -  Validation Accuracy: 0.956
Epoch: 27/100 Step: 2782 -  Training Loss: 0.086 -  Validation Loss: 0.212 -  Validation Accuracy: 0.951
Epoch: 28/100 Step: 2885 -  Training Loss: 0.089 -  Validation Loss: 0.204 -  Validation Accuracy: 0.941
