Epoch: 0/100 Step: 1 -  Training Loss: 4.656 -  Validation Loss: 4.601 -  Validation Accuracy: 0.016
Epoch: 0/100 Step: 2 -  Training Loss: 4.594 -  Validation Loss: 4.556 -  Validation Accuracy: 0.019
Epoch: 0/100 Step: 5 -  Training Loss: 4.662 -  Validation Loss: 4.423 -  Validation Accuracy: 0.028
Epoch: 0/100 Step: 10 -  Training Loss: 4.452 -  Validation Loss: 4.212 -  Validation Accuracy: 0.126
Epoch: 0/100 Step: 20 -  Training Loss: 4.176 -  Validation Loss: 3.827 -  Validation Accuracy: 0.257
Epoch: 0/100 Step: 51 -  Training Loss: 3.160 -  Validation Loss: 2.196 -  Validation Accuracy: 0.581
Epoch: 1/100 Step: 104 -  Training Loss: 1.701 -  Validation Loss: 0.975 -  Validation Accuracy: 0.795
Epoch: 2/100 Step: 207 -  Training Loss: 0.799 -  Validation Loss: 0.447 -  Validation Accuracy: 0.900
Epoch: 3/100 Step: 310 -  Training Loss: 0.469 -  Validation Loss: 0.319 -  Validation Accuracy: 0.926
Epoch: 4/100 Step: 413 -  Training Loss: 0.358 -  Validation Loss: 0.246 -  Validation Accuracy: 0.936
Epoch: 5/100 Step: 516 -  Training Loss: 0.277 -  Validation Loss: 0.241 -  Validation Accuracy: 0.942
Epoch: 6/100 Step: 619 -  Training Loss: 0.238 -  Validation Loss: 0.248 -  Validation Accuracy: 0.934
Epoch: 7/100 Step: 722 -  Training Loss: 0.210 -  Validation Loss: 0.214 -  Validation Accuracy: 0.937
Epoch: 8/100 Step: 825 -  Training Loss: 0.176 -  Validation Loss: 0.202 -  Validation Accuracy: 0.938
Epoch: 9/100 Step: 928 -  Training Loss: 0.159 -  Validation Loss: 0.170 -  Validation Accuracy: 0.957
Epoch: 10/100 Step: 1031 -  Training Loss: 0.140 -  Validation Loss: 0.167 -  Validation Accuracy: 0.954
Epoch: 11/100 Step: 1134 -  Training Loss: 0.138 -  Validation Loss: 0.181 -  Validation Accuracy: 0.956
Epoch: 12/100 Step: 1237 -  Training Loss: 0.122 -  Validation Loss: 0.184 -  Validation Accuracy: 0.952
Epoch: 13/100 Step: 1340 -  Training Loss: 0.116 -  Validation Loss: 0.166 -  Validation Accuracy: 0.953
Epoch: 14/100 Step: 1443 -  Training Loss: 0.108 -  Validation Loss: 0.159 -  Validation Accuracy: 0.959
Epoch: 15/100 Step: 1546 -  Training Loss: 0.105 -  Validation Loss: 0.146 -  Validation Accuracy: 0.963
Epoch: 16/100 Step: 1649 -  Training Loss: 0.095 -  Validation Loss: 0.160 -  Validation Accuracy: 0.953
Epoch: 17/100 Step: 1752 -  Training Loss: 0.086 -  Validation Loss: 0.191 -  Validation Accuracy: 0.951
Epoch: 18/100 Step: 1855 -  Training Loss: 0.097 -  Validation Loss: 0.145 -  Validation Accuracy: 0.962
Epoch: 19/100 Step: 1958 -  Training Loss: 0.089 -  Validation Loss: 0.169 -  Validation Accuracy: 0.952
Epoch: 20/100 Step: 2061 -  Training Loss: 0.095 -  Validation Loss: 0.173 -  Validation Accuracy: 0.960
Epoch: 21/100 Step: 2164 -  Training Loss: 0.080 -  Validation Loss: 0.228 -  Validation Accuracy: 0.938
Epoch: 22/100 Step: 2267 -  Training Loss: 0.072 -  Validation Loss: 0.190 -  Validation Accuracy: 0.954
